source_id,scenario,month,mrro
GFDL-CM4,historical,1,5.838130376983836e-06
GFDL-CM4,historical,2,7.315936399620613e-06
GFDL-CM4,historical,3,7.4942645405405045e-06
GFDL-CM4,historical,4,2.2616409649809713e-06
GFDL-CM4,historical,5,8.389537323117989e-07
GFDL-CM4,historical,6,7.460361964028689e-07
GFDL-CM4,historical,7,7.623089219095192e-07
GFDL-CM4,historical,8,7.257569891165098e-07
GFDL-CM4,historical,9,6.666808518128205e-07
GFDL-CM4,historical,10,6.421430799196745e-07
GFDL-CM4,historical,11,1.1565425244807574e-06
GFDL-CM4,historical,12,2.1245391156056894e-06
IPSL-CM6A-LR,historical,1,4.1814269934548065e-05
IPSL-CM6A-LR,historical,2,4.7562472900608554e-05
IPSL-CM6A-LR,historical,3,4.736127084470354e-05
IPSL-CM6A-LR,historical,4,3.3172858820762485e-05
IPSL-CM6A-LR,historical,5,1.5976020222296938e-05
IPSL-CM6A-LR,historical,6,8.921832886699121e-06
IPSL-CM6A-LR,historical,7,5.0502076192060485e-06
IPSL-CM6A-LR,historical,8,2.822245505740284e-06
IPSL-CM6A-LR,historical,9,2.001414031838067e-06
IPSL-CM6A-LR,historical,10,2.09451059163257e-06
IPSL-CM6A-LR,historical,11,2.206189037678996e-06
IPSL-CM6A-LR,historical,12,1.9124663594993763e-05
CNRM-CM6-1,historical,1,3.4248592344997754e-05
CNRM-CM6-1,historical,2,6.024212246121279e-05
CNRM-CM6-1,historical,3,5.8392415316531884e-05
CNRM-CM6-1,historical,4,3.826116428523798e-05
CNRM-CM6-1,historical,5,1.5164283407100616e-05
CNRM-CM6-1,historical,6,7.076399739513692e-06
CNRM-CM6-1,historical,7,2.6296514212234814e-06
CNRM-CM6-1,historical,8,4.5119927527169363e-07
CNRM-CM6-1,historical,9,5.715982718017737e-07
CNRM-CM6-1,historical,10,4.145196901986723e-06
CNRM-CM6-1,historical,11,1.8596058008183834e-05
CNRM-CM6-1,historical,12,5.353481942168488e-05
GISS-E2-1-G,historical,1,3.242066097785433e-05
GISS-E2-1-G,historical,2,4.166837550914691e-05
GISS-E2-1-G,historical,3,4.1394616226431045e-05
GISS-E2-1-G,historical,4,3.739771713570989e-05
GISS-E2-1-G,historical,5,1.146040095221146e-05
GISS-E2-1-G,historical,6,2.777795634321003e-06
GISS-E2-1-G,historical,7,5.65297748295395e-07
GISS-E2-1-G,historical,8,1.3120282324758387e-07
GISS-E2-1-G,historical,9,9.523895813774723e-07
GISS-E2-1-G,historical,10,2.0218597338539752e-06
GISS-E2-1-G,historical,11,6.778279762113328e-06
GISS-E2-1-G,historical,12,2.2654408890578074e-05
BCC-ESM1,historical,1,2.485524579616404e-05
BCC-ESM1,historical,2,2.647526011309486e-05
BCC-ESM1,historical,3,2.0590181993758315e-05
BCC-ESM1,historical,4,6.916318186210535e-06
BCC-ESM1,historical,5,-2.548150568541572e-07
BCC-ESM1,historical,6,-2.00381592299715e-06
BCC-ESM1,historical,7,-6.863570257748154e-06
BCC-ESM1,historical,8,-9.230847687772879e-06
BCC-ESM1,historical,9,-5.286509160522391e-06
BCC-ESM1,historical,10,-1.1123934594677615e-06
BCC-ESM1,historical,11,4.09816222706409e-06
BCC-ESM1,historical,12,1.409184939061084e-05
GFDL-CM4,ssp245,1,3.5510314983564748e-06
GFDL-CM4,ssp245,2,9.77584159322371e-06
GFDL-CM4,ssp245,3,4.2393595203228755e-06
GFDL-CM4,ssp245,4,2.0735307812423445e-06
GFDL-CM4,ssp245,5,8.847973183971461e-07
GFDL-CM4,ssp245,6,6.943460984739748e-07
GFDL-CM4,ssp245,7,6.974831141676295e-07
GFDL-CM4,ssp245,8,6.664934718274193e-07
GFDL-CM4,ssp245,9,6.487702766497814e-07
GFDL-CM4,ssp245,10,5.901114650637997e-07
GFDL-CM4,ssp245,11,6.554176204314343e-07
GFDL-CM4,ssp245,12,1.0189091739166142e-06
GFDL-ESM4,ssp245,1,8.607477121014768e-06
GFDL-ESM4,ssp245,2,2.826222265749574e-05
GFDL-ESM4,ssp245,3,1.2773649448547525e-05
GFDL-ESM4,ssp245,4,3.8935484993829825e-06
GFDL-ESM4,ssp245,5,1.0110024526262177e-06
GFDL-ESM4,ssp245,6,9.945044243966079e-07
GFDL-ESM4,ssp245,7,8.83274364395717e-07
GFDL-ESM4,ssp245,8,8.455181483493561e-07
GFDL-ESM4,ssp245,9,8.080402591336554e-07
GFDL-ESM4,ssp245,10,7.929608814712979e-07
GFDL-ESM4,ssp245,11,1.2689699557203746e-06
GFDL-ESM4,ssp245,12,3.995518052768163e-06
IPSL-CM6A-LR,ssp245,1,3.718303196365014e-05
IPSL-CM6A-LR,ssp245,2,6.29344503977336e-05
IPSL-CM6A-LR,ssp245,3,5.3652271162718534e-05
IPSL-CM6A-LR,ssp245,4,2.8056409064447507e-05
IPSL-CM6A-LR,ssp245,5,1.511411028332077e-05
IPSL-CM6A-LR,ssp245,6,7.760972039250191e-06
IPSL-CM6A-LR,ssp245,7,4.3756199374911375e-06
IPSL-CM6A-LR,ssp245,8,2.568232275734772e-06
IPSL-CM6A-LR,ssp245,9,2.5142485355900135e-06
IPSL-CM6A-LR,ssp245,10,2.0206991848681355e-06
IPSL-CM6A-LR,ssp245,11,3.6798919609282166e-06
IPSL-CM6A-LR,ssp245,12,1.5997949958546087e-05
CNRM-CM6-1,ssp245,1,4.8547996104807106e-05
CNRM-CM6-1,ssp245,2,4.775875189456505e-05
CNRM-CM6-1,ssp245,3,4.0995835684674655e-05
CNRM-CM6-1,ssp245,4,2.175582160626505e-05
CNRM-CM6-1,ssp245,5,9.48311533973328e-06
CNRM-CM6-1,ssp245,6,4.610712579151543e-06
CNRM-CM6-1,ssp245,7,1.2893852359924488e-06
CNRM-CM6-1,ssp245,8,3.252848675574003e-07
CNRM-CM6-1,ssp245,9,6.880098543034901e-07
CNRM-CM6-1,ssp245,10,1.049741802573867e-06
CNRM-CM6-1,ssp245,11,1.5567543317568644e-05
CNRM-CM6-1,ssp245,12,4.467445000053978e-05
CanESM5,ssp245,1,8.665061989630398e-06
CanESM5,ssp245,2,1.7136643829773444e-05
CanESM5,ssp245,3,8.839805614519074e-06
CanESM5,ssp245,4,3.2731809807854307e-06
CanESM5,ssp245,5,6.349418500008723e-07
CanESM5,ssp245,6,5.5709734362439775e-08
CanESM5,ssp245,7,2.4813538810480873e-13
CanESM5,ssp245,8,4.126262549457198e-13
CanESM5,ssp245,9,2.221359489580632e-12
CanESM5,ssp245,10,6.358831104898155e-12
CanESM5,ssp245,11,5.21713942587421e-10
CanESM5,ssp245,12,3.2177313777167063e-06
GFDL-ESM4,ssp585,1,1.0494088007312234e-05
GFDL-ESM4,ssp585,2,1.756078071261983e-05
GFDL-ESM4,ssp585,3,6.537452887522532e-06
GFDL-ESM4,ssp585,4,1.977188396918461e-06
GFDL-ESM4,ssp585,5,1.0582320392427312e-06
GFDL-ESM4,ssp585,6,7.614889922013444e-07
GFDL-ESM4,ssp585,7,7.66941472663825e-07
GFDL-ESM4,ssp585,8,7.529272497748741e-07
GFDL-ESM4,ssp585,9,7.052374749578923e-07
GFDL-ESM4,ssp585,10,6.852625111109787e-07
GFDL-ESM4,ssp585,11,1.1126384467241897e-06
GFDL-ESM4,ssp585,12,2.7268890325831243e-06
GFDL-CM4,ssp585,1,3.3556135716881117e-06
GFDL-CM4,ssp585,2,7.116446364024922e-06
GFDL-CM4,ssp585,3,4.045178780872713e-06
GFDL-CM4,ssp585,4,1.6030343631216047e-06
GFDL-CM4,ssp585,5,6.78106978674023e-07
GFDL-CM4,ssp585,6,6.43650582593434e-07
GFDL-CM4,ssp585,7,6.633151696525748e-07
GFDL-CM4,ssp585,8,6.447771118431477e-07
GFDL-CM4,ssp585,9,6.129795692541516e-07
GFDL-CM4,ssp585,10,6.053610562142467e-07
GFDL-CM4,ssp585,11,6.068234426538468e-07
GFDL-CM4,ssp585,12,1.0147152532624586e-06
CNRM-CM6-1,ssp585,1,7.239078745825622e-05
CNRM-CM6-1,ssp585,2,5.216551265766999e-05
CNRM-CM6-1,ssp585,3,4.260452248131878e-05
CNRM-CM6-1,ssp585,4,2.350446250550192e-05
CNRM-CM6-1,ssp585,5,8.818235909447602e-06
CNRM-CM6-1,ssp585,6,3.170344841191114e-06
CNRM-CM6-1,ssp585,7,1.0965291182923475e-06
CNRM-CM6-1,ssp585,8,2.3349943268393987e-07
CNRM-CM6-1,ssp585,9,3.6422945674007514e-07
CNRM-CM6-1,ssp585,10,3.455920853209677e-07
CNRM-CM6-1,ssp585,11,7.453590757285011e-06
CNRM-CM6-1,ssp585,12,4.83346338914646e-05
CanESM5,ssp585,1,5.333787777632034e-06
CanESM5,ssp585,2,2.2146408501681908e-05
CanESM5,ssp585,3,1.3892630390046245e-05
CanESM5,ssp585,4,1.8028927407579378e-06
CanESM5,ssp585,5,3.319152026287e-07
CanESM5,ssp585,6,1.8865499231912075e-12
CanESM5,ssp585,7,4.0264108653779675e-13
CanESM5,ssp585,8,1.7542398239829666e-12
CanESM5,ssp585,9,4.697124010273959e-12
CanESM5,ssp585,10,7.40508399228474e-12
CanESM5,ssp585,11,1.6882639008407735e-10
CanESM5,ssp585,12,1.5922624581868595e-07
BCC-CSM2-MR,ssp585,1,4.5323279486718924e-05
BCC-CSM2-MR,ssp585,2,4.8523192856303155e-05
BCC-CSM2-MR,ssp585,3,3.1460918603768444e-05
BCC-CSM2-MR,ssp585,4,1.2738394884771177e-05
BCC-CSM2-MR,ssp585,5,5.4671329233616156e-08
BCC-CSM2-MR,ssp585,6,-2.196544365576651e-06
BCC-CSM2-MR,ssp585,7,-4.651865602021477e-06
BCC-CSM2-MR,ssp585,8,-2.5209266545503827e-06
BCC-CSM2-MR,ssp585,9,-1.375453982414936e-06
BCC-CSM2-MR,ssp585,10,1.2667734073856173e-06
BCC-CSM2-MR,ssp585,11,1.4324771839379564e-05
BCC-CSM2-MR,ssp585,12,2.6437764454613036e-05
